Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
Stephen Thompson (12276589),  Alexis Davis (12276597),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Justin Willis (12276592),  Jesus Pinedo (12276602),  47900.0,  27.689999999999998,,
Curtis Blaydes (12276591),  Bobby Moffett (12276604),  Alexis Davis (12276597),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Jesus Pinedo (12276602),  49200.0,  27.650000000000002,,
Alexis Davis (12276597),  Marlon Vera (12276612),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Justin Willis (12276592),  Jesus Pinedo (12276602),  47000.0,  27.47,,
Stephen Thompson (12276589),  Curtis Blaydes (12276591),  Alexis Davis (12276597),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Jesus Pinedo (12276602),  49700.0,  27.46,,
Removing Davis,,,,,,,,,
Stephen Thompson (12276589),  Bobby Moffett (12276604),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Justin Willis (12276592),  Jesus Pinedo (12276602),  48100.0,  27.15,,
Bobby Moffett (12276604),  Marlon Vera (12276612),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Justin Willis (12276592),  Jesus Pinedo (12276602),  47200.0,  26.93,,
Stephen Thompson (12276589),  Curtis Blaydes (12276591),  Bobby Moffett (12276604),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Jesus Pinedo (12276602),  49900.0,  26.92,,
Stephen Thompson (12276589),  Marlon Vera (12276612),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Justin Willis (12276592),  Jesus Pinedo (12276602),  47700.0,  26.740000000000002,,
Curtis Blaydes (12276591),  Bobby Moffett (12276604),  Marlon Vera (12276612),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Jesus Pinedo (12276602),  49000.0,  26.700000000000003,,
Removing Jesus and Justin because all line ups have them,,,,,,,,,
Curtis Blaydes (12276591),  Bobby Moffett (12276604),  Marlon Vera (12276612),  Angela Hill (12276594),  Ryan MacDonald (12276607),  Jordan Espinosa (12276610),  49800.0,  25.530000000000005,,
Stephen Thompson (12276589),  Curtis Blaydes (12276591),  Marlon Vera (12276612),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Bryce Mitchell (12276603),  49800.0,  25.040000000000003,,
Stephen Thompson (12276589),  Curtis Blaydes (12276591),  Angela Hill (12276594),  Ryan MacDonald (12276607),  Jordan Espinosa (12276610),  Bryce Mitchell (12276603),  49300.0,  24.640000000000004,,
Stephen Thompson (12276589),  Curtis Blaydes (12276591),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jordan Espinosa (12276610),  Bryce Mitchell (12276603),  49700.0,  24.64,,
Curtis Blaydes (12276591),  Bobby Moffett (12276604),  Deiveson Figueiredo (12276599),  Angela Hill (12276594),  Ryan MacDonald (12276607),  Jordan Espinosa (12276610),  49900.0,  24.55,,
,,,,,,,,,
"Future exploration, remove one or two from each compliation and then readd them into the dataset.",,,,,,,,,
